song_name,song_artist,track number,country,start date,end date,Analysis
Toosie Slide,Drake,1,South afrika,2020-04-17,2020-04-24,Positive
Blinding Lights,The Weeknd,2,South afrika,2020-04-17,2020-04-24,Negative
Roses - Imanbek Remix,SAINt JHN,3,South afrika,2020-04-17,2020-04-24,Negative
The Box,Roddy Ricch,4,South afrika,2020-04-17,2020-04-24,Negative
Blueberry Faygo,Lil Mosey,5,South afrika,2020-04-17,2020-04-24,Negative
Don't Start Now,Dua Lipa,6,South afrika,2020-04-17,2020-04-24,Negative
Dance Monkey,Tones And I,7,South afrika,2020-04-17,2020-04-24,Neutral
Intentions (feat. Quavo),Justin Bieber,8,South afrika,2020-04-17,2020-04-24,Positive
Life Is Good (feat. Drake),Future,9,South afrika,2020-04-17,2020-04-24,Positive
Circles,Post Malone,10,South afrika,2020-04-17,2020-04-24,Positive
death bed (coffee for your head) (feat. beabadoobee),Powfu,11,South afrika,2020-04-17,2020-04-24,Positive
ROCKSTAR (feat. Roddy Ricch),DaBaby,12,South afrika,2020-04-17,2020-04-24,Positive
Falling,Trevor Daniel,13,South afrika,2020-04-17,2020-04-24,Positive
Someone You Loved,Lewis Capaldi,14,South afrika,2020-04-17,2020-04-24,Positive
WHATS POPPIN,Jack Harlow,15,South afrika,2020-04-17,2020-04-24,Negative
Say So,Doja Cat,16,South afrika,2020-04-17,2020-04-24,Positive
Memories,Maroon 5,17,South afrika,2020-04-17,2020-04-24,Positive
Savage,Megan Thee Stallion,18,South afrika,2020-04-17,2020-04-24,Negative
ROXANNE,Arizona Zervas,19,South afrika,2020-04-17,2020-04-24,Positive
Sunday Best,Surfaces,20,South afrika,2020-04-17,2020-04-24,Positive
THE SCOTTS,THE SCOTTS,1,South afrika,2020-04-24,2020-05-01,Positive
goosebumps,Travis Scott,6,South afrika,2020-04-24,2020-05-01,Positive
SICKO MODE,Travis Scott,7,South afrika,2020-04-24,2020-05-01,Positive
HIGHEST IN THE ROOM,Travis Scott,9,South afrika,2020-04-24,2020-05-01,could not determine analysis
Righteous,Juice WRLD,10,South afrika,2020-04-24,2020-05-01,Negative
Chicago Freestyle (feat. Giveon),Drake,5,South afrika,2020-05-01,2020-05-08,Negative
Pain 1993 (with Playboi Carti),Drake,6,South afrika,2020-05-01,2020-05-08,Positive
Savage Remix (feat. Beyoncé),Megan Thee Stallion,8,South afrika,2020-05-01,2020-05-08,Positive
Not You Too (feat. Chris Brown),Drake,10,South afrika,2020-05-01,2020-05-08,Positive
Time Flies,Drake,14,South afrika,2020-05-01,2020-05-08,Positive
Deep Pockets,Drake,16,South afrika,2020-05-01,2020-05-08,Positive
D4L,Future,20,South afrika,2020-05-01,2020-05-08,Positive
Stuck with U (with Justin Bieber),Ariana Grande,8,South afrika,2020-05-08,2020-05-15,Negative
Be Kind (with Halsey),Marshmello,16,South afrika,2020-05-08,2020-05-15,Positive
GOOBA,6ix9ine,19,South afrika,2020-05-08,2020-05-15,Negative
