song_name,song_artist,track number,country,start date,end date,Analysis
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,1,United kingdom,2019-12-13,2019-12-20,could not determine analysis
All I Want for Christmas Is You,Mariah Carey,2,United kingdom,2019-12-13,2019-12-20,Positive
Dance Monkey,Tones And I,3,United kingdom,2019-12-13,2019-12-20,Neutral
Last Christmas,Wham!,4,United kingdom,2019-12-13,2019-12-20,Positive
ROXANNE,Arizona Zervas,5,United kingdom,2019-12-13,2019-12-20,Positive
Before You Go,Lewis Capaldi,6,United kingdom,2019-12-13,2019-12-20,Negative
Don't Start Now,Dua Lipa,7,United kingdom,2019-12-13,2019-12-20,Negative
Audacity (feat. Headie One),Stormzy,8,United kingdom,2019-12-13,2019-12-20,Negative
Rockin' Around The Christmas Tree,Brenda Lee,9,United kingdom,2019-12-13,2019-12-20,Positive
Lessons,Stormzy,10,United kingdom,2019-12-13,2019-12-20,Positive
Fairytale of New York (feat. Kirsty MacColl),The Pogues,11,United kingdom,2019-12-13,2019-12-20,Positive
Adore You,Harry Styles,12,United kingdom,2019-12-13,2019-12-20,Positive
It's Beginning to Look a Lot like Christmas,Michael Bublé,13,United kingdom,2019-12-13,2019-12-20,Positive
Do They Know It's Christmas? - 1984 Version,Band Aid,14,United kingdom,2019-12-13,2019-12-20,Negative
Santa Tell Me,Ariana Grande,15,United kingdom,2019-12-13,2019-12-20,Positive
It's the Most Wonderful Time of the Year,Andy Williams,16,United kingdom,2019-12-13,2019-12-20,Positive
Vossi Bop,Stormzy,17,United kingdom,2019-12-13,2019-12-20,Negative
Lights Up,Harry Styles,18,United kingdom,2019-12-13,2019-12-20,Positive
Merry Christmas Everyone,Shakin' Stevens,19,United kingdom,2019-12-13,2019-12-20,Positive
Someone You Loved,Lewis Capaldi,20,United kingdom,2019-12-13,2019-12-20,Positive
