song_name,song_artist,track number,country,start date,end date,Analysis
Dance Monkey,Tones And I,1,Bulgaria,2020-01-03,2020-01-10,Neutral
Roses - Imanbek Remix,SAINt JHN,2,Bulgaria,2020-01-03,2020-01-10,Negative
Falling,Trevor Daniel,3,Bulgaria,2020-01-03,2020-01-10,Positive
Yummy,Justin Bieber,4,Bulgaria,2020-01-03,2020-01-10,Positive
Heartless,The Weeknd,5,Bulgaria,2020-01-03,2020-01-10,Negative
Ayy Macarena,Tyga,6,Bulgaria,2020-01-03,2020-01-10,could not determine analysis
Blinding Lights,The Weeknd,7,Bulgaria,2020-01-03,2020-01-10,Negative
The Box,Roddy Ricch,8,Bulgaria,2020-01-03,2020-01-10,Negative
everything i wanted,Billie Eilish,9,Bulgaria,2020-01-03,2020-01-10,Negative
Don't Start Now,Dua Lipa,10,Bulgaria,2020-01-03,2020-01-10,Negative
HIGHEST IN THE ROOM,Travis Scott,11,Bulgaria,2020-01-03,2020-01-10,Positive
ROXANNE,Arizona Zervas,12,Bulgaria,2020-01-03,2020-01-10,Positive
My Oh My (feat. DaBaby),Camila Cabello,13,Bulgaria,2020-01-03,2020-01-10,Neutral
bad guy,Billie Eilish,14,Bulgaria,2020-01-03,2020-01-10,Negative
HIGHEST IN THE ROOM (feat. ROSALÍA &amp; Lil Baby) - REMIX,Travis Scott,15,Bulgaria,2020-01-03,2020-01-10,could not determine analysis
Señorita,Shawn Mendes,16,Bulgaria,2020-01-03,2020-01-10,Positive
OUT WEST (feat. Young Thug),JACKBOYS,17,Bulgaria,2020-01-03,2020-01-10,Negative
No Idea,Don Toliver,18,Bulgaria,2020-01-03,2020-01-10,could not determine analysis
Circles,Post Malone,19,Bulgaria,2020-01-03,2020-01-10,Positive
Adore You,Harry Styles,20,Bulgaria,2020-01-03,2020-01-10,Positive
