song_name,song_artist,track number,country,start date,end date,Analysis
Liberdade Provisória - Ao Vivo,Henrique &amp; Juliano,1,Brazil,2020-02-07,2020-02-14,could not determine analysis
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,2,Brazil,2020-02-07,2020-02-14,could not determine analysis
Tudo Ok,Thiaguinho MT,3,Brazil,2020-02-07,2020-02-14,Positive
SENTADÃO,Pedro Sampaio,4,Brazil,2020-02-07,2020-02-14,Negative
Dance Monkey,Tones And I,5,Brazil,2020-02-07,2020-02-14,Neutral
Graveto - Ao Vivo,Marília Mendonça,6,Brazil,2020-02-07,2020-02-14,could not determine analysis
Vem Me Satisfazer,MC Ingryd,7,Brazil,2020-02-07,2020-02-14,Negative
Com ou Sem Mim - Ao Vivo,Gustavo Mioto,8,Brazil,2020-02-07,2020-02-14,Negative
Combatchy (feat. MC Rebecca),Anitta,9,Brazil,2020-02-07,2020-02-14,Negative
Porta Mala,Os Parazim,10,Brazil,2020-02-07,2020-02-14,could not determine analysis
Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto &amp; Cristiano,11,Brazil,2020-02-07,2020-02-14,could not determine analysis
Cheirosa - Ao Vivo,Jorge &amp; Mateus,12,Brazil,2020-02-07,2020-02-14,could not determine analysis
Surtada - Remix Brega Funk,Dadá Boladão,13,Brazil,2020-02-07,2020-02-14,Neutral
S de Saudade,Luíza &amp; Maurílio,14,Brazil,2020-02-07,2020-02-14,could not determine analysis
Supera - Ao Vivo,Marília Mendonça,15,Brazil,2020-02-07,2020-02-14,Positive
3 Batidas - Ao Vivo,Guilherme &amp; Benuto,16,Brazil,2020-02-07,2020-02-14,could not determine analysis
Don't Start Now,Dua Lipa,17,Brazil,2020-02-07,2020-02-14,Negative
Aí Eu Bebo - Ao Vivo,Maiara &amp; Maraisa,18,Brazil,2020-02-07,2020-02-14,could not determine analysis
menina solta,Giulia Be,19,Brazil,2020-02-07,2020-02-14,Positive
Tijolão - Ao Vivo,Jorge &amp; Mateus,20,Brazil,2020-02-07,2020-02-14,could not determine analysis
