song_name,song_artist,track number,country,start date,end date,Analysis
The Box,Roddy Ricch,1,United states,2020-02-28,2020-03-06,Negative
Blinding Lights,The Weeknd,2,United states,2020-02-28,2020-03-06,Negative
Say So,Doja Cat,3,United states,2020-02-28,2020-03-06,Positive
Blueberry Faygo,Lil Mosey,4,United states,2020-02-28,2020-03-06,Negative
Intentions (feat. Quavo),Justin Bieber,5,United states,2020-02-28,2020-03-06,Positive
Life Is Good (feat. Drake),Future,6,United states,2020-02-28,2020-03-06,Positive
That Way,Lil Uzi Vert,7,United states,2020-02-28,2020-03-06,Negative
Stupid Love,Lady Gaga,8,United states,2020-02-28,2020-03-06,Positive
ROXANNE,Arizona Zervas,9,United states,2020-02-28,2020-03-06,Positive
High Fashion (feat. Mustard),Roddy Ricch,10,United states,2020-02-28,2020-03-06,Negative
Heatin Up (feat. Gunna),Lil Baby,11,United states,2020-02-28,2020-03-06,Negative
Don't Start Now,Dua Lipa,12,United states,2020-02-28,2020-03-06,Negative
La Difícil,Bad Bunny,13,United states,2020-02-28,2020-03-06,Negative
WHATS POPPIN,Jack Harlow,14,United states,2020-02-28,2020-03-06,Negative
Ignorantes,Bad Bunny,15,United states,2020-02-28,2020-03-06,Negative
Si Veo a Tu Mamá,Bad Bunny,16,United states,2020-02-28,2020-03-06,Negative
Circles,Post Malone,17,United states,2020-02-28,2020-03-06,Positive
Falling,Trevor Daniel,18,United states,2020-02-28,2020-03-06,could not determine analysis
After Hours,The Weeknd,19,United states,2020-02-28,2020-03-06,could not determine analysis
Woah,Lil Baby,20,United states,2020-02-28,2020-03-06,Negative
