song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Mexico,2019-12-27,2020-01-03,Negative
Dance Monkey,Tones And I,2,Mexico,2019-12-27,2020-01-03,Neutral
Vete,Bad Bunny,3,Mexico,2019-12-27,2020-01-03,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,4,Mexico,2019-12-27,2020-01-03,Positive
LA CANCIÓN,J Balvin,5,Mexico,2019-12-27,2020-01-03,Negative
Pa' Olvidarme De Ella,Piso 21,6,Mexico,2019-12-27,2020-01-03,Negative
Fantasias,Rauw Alejandro,7,Mexico,2019-12-27,2020-01-03,Negative
China,Anuel AA,8,Mexico,2019-12-27,2020-01-03,Negative
Callaita,Bad Bunny,9,Mexico,2019-12-27,2020-01-03,Negative
No Me Conoce - Remix,Jhay Cortez,10,Mexico,2019-12-27,2020-01-03,Negative
Que Tire Pa Lante,Daddy Yankee,11,Mexico,2019-12-27,2020-01-03,Negative
Oye Pablo,Danna Paola,12,Mexico,2019-12-27,2020-01-03,Negative
Sigues Con El,Dímelo Flow,13,Mexico,2019-12-27,2020-01-03,Negative
Amor A Primera Vista,Los Angeles Azules,14,Mexico,2019-12-27,2020-01-03,could not determine analysis
Don't Start Now,Dua Lipa,15,Mexico,2019-12-27,2020-01-03,Negative
Indeciso,Reik,16,Mexico,2019-12-27,2020-01-03,Negative
Tutu,Camilo,17,Mexico,2019-12-27,2020-01-03,Negative
Señorita,Shawn Mendes,18,Mexico,2019-12-27,2020-01-03,Positive
De Los Besos Que Te Di,Christian Nodal,19,Mexico,2019-12-27,2020-01-03,Positive
Blanco,J Balvin,20,Mexico,2019-12-27,2020-01-03,Negative
Yummy,Justin Bieber,12,Mexico,2020-01-03,2020-01-10,Positive
Blinding Lights,The Weeknd,16,Mexico,2020-01-03,2020-01-10,Negative
Morado,J Balvin,18,Mexico,2020-01-10,2020-01-17,Negative
Ride It,Regard,19,Mexico,2020-01-10,2020-01-17,Negative
Hola - Remix,Dalex,18,Mexico,2020-01-17,2020-01-24,Negative
Quizas,Rich Music LTD,20,Mexico,2020-01-17,2020-01-24,Positive
