song_name,song_artist,track number,country,start date,end date,Analysis
Auto Blu,Shiva,1,Italy,2020-04-17,2020-04-24,Positive
Fiori di Chernobyl,Mr.Rain,2,Italy,2020-04-17,2020-04-24,Negative
Good Times,Ghali,3,Italy,2020-04-17,2020-04-24,Positive
Roses - Imanbek Remix,SAINt JHN,4,Italy,2020-04-17,2020-04-24,Negative
death bed (coffee for your head) (feat. beabadoobee),Powfu,5,Italy,2020-04-17,2020-04-24,Positive
Bando,ANNA,6,Italy,2020-04-17,2020-04-24,Negative
Blinding Lights,The Weeknd,7,Italy,2020-04-17,2020-04-24,Negative
Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,8,Italy,2020-04-17,2020-04-24,could not determine analysis
blun7 a swishland,tha Supreme,9,Italy,2020-04-17,2020-04-24,Negative
Boogieman (feat. Salmo),Ghali,10,Italy,2020-04-17,2020-04-24,Positive
Per sentirmi vivo,Fasma,11,Italy,2020-04-17,2020-04-24,Neutral
Rapide,Mahmood,12,Italy,2020-04-17,2020-04-24,Negative
Nena (feat. Geolier &amp; Andry The Hitmaker),Boro Boro,13,Italy,2020-04-17,2020-04-24,could not determine analysis
Dilemme (with tha Supreme &amp; Mara Sattei),Lous and The Yakuza,14,Italy,2020-04-17,2020-04-24,could not determine analysis
Le Feste Di Pablo (con Fedez),CARA,15,Italy,2020-04-17,2020-04-24,could not determine analysis
Tusa,KAROL G,16,Italy,2020-04-17,2020-04-24,Negative
Toosie Slide,Drake,17,Italy,2020-04-17,2020-04-24,Positive
Ringo Starr,Pinguini Tattici Nucleari,18,Italy,2020-04-17,2020-04-24,Negative
Ma lo vuoi capire?,Tommaso Paradiso,19,Italy,2020-04-17,2020-04-24,Negative
Ora che ti guardo bene,Gazzelle,20,Italy,2020-04-17,2020-04-24,Positive
THE SCOTTS,THE SCOTTS,1,Italy,2020-04-24,2020-05-01,Positive
SICKO MODE,Travis Scott,2,Italy,2020-04-24,2020-05-01,Positive
goosebumps,Travis Scott,6,Italy,2020-04-24,2020-05-01,Positive
Bando - Remix,ANNA,7,Italy,2020-04-24,2020-05-01,Negative
HIGHEST IN THE ROOM,Travis Scott,11,Italy,2020-04-24,2020-05-01,could not determine analysis
Cacao (feat. Pyrex),Ghali,7,Italy,2020-05-01,2020-05-08,Negative
PUSSY (feat. Lazza &amp; Salmo),Dark Polo Gang,1,Italy,2020-05-08,2020-05-15,could not determine analysis
AMIRI BOYS (feat. Capo Plaza),Dark Polo Gang,2,Italy,2020-05-08,2020-05-15,Negative
SAVAGE (feat. Tedua),Dark Polo Gang,3,Italy,2020-05-08,2020-05-15,Negative
4L (feat. MamboLosco),Dark Polo Gang,4,Italy,2020-05-08,2020-05-15,Negative
BIBERON (feat. DrefGold &amp; ANNA),Dark Polo Gang,6,Italy,2020-05-08,2020-05-15,could not determine analysis
DARK LOVE GANG (feat. Ketama126),Dark Polo Gang,7,Italy,2020-05-08,2020-05-15,Positive
GOOBA,6ix9ine,8,Italy,2020-05-08,2020-05-15,Negative
NO STUPID (feat. Boro Boro &amp; Samurai Jay),Dark Polo Gang,10,Italy,2020-05-08,2020-05-15,could not determine analysis
DARK,Dark Polo Gang,14,Italy,2020-05-08,2020-05-15,Negative
#FREETRAFFIK (feat. Traffik &amp; Oni One),Dark Polo Gang,16,Italy,2020-05-08,2020-05-15,could not determine analysis
